"","LMA_gDW_m2.9.comps"
"Wave_1094",-0.00349499510333018
"Wave_1095",-0.00686617333669951
"Wave_1096",-0.0185749588121303
"Wave_1097",-0.0201020962396277
"Wave_1098",-0.0204526515074533
"Wave_1099",-0.0218405827311859
"Wave_1100",-0.0204548701043077
"Wave_1101",-0.0131111005888209
"Wave_1102",-0.021289027916067
"Wave_1103",-0.0249755016794533
"Wave_1104",-0.0255244050821554
"Wave_1105",-0.027680273278863
"Wave_1106",-0.0292114266992503
"Wave_1107",-0.0213159608606448
"Wave_1108",-0.0189380233632104
"Wave_1109",-0.0194096225461288
"Wave_1110",-0.0315685561764663
"Wave_1111",-0.0434558014066479
"Wave_1112",-0.0426766789287498
"Wave_1113",-0.0427419936974676
"Wave_1114",-0.07138718503674
"Wave_1115",-0.0896881966618251
"Wave_1116",-0.100333027363526
"Wave_1117",-0.114623521536662
"Wave_1118",-0.135790410033796
"Wave_1119",-0.17017406492895
"Wave_1120",-0.20812626938303
"Wave_1121",-0.218943557700066
"Wave_1122",-0.229711504997265
"Wave_1123",-0.234516768224089
"Wave_1124",-0.251040344813863
"Wave_1125",-0.24881816569602
"Wave_1126",-0.244887475240075
"Wave_1127",-0.238152643329567
"Wave_1128",-0.237369295260021
"Wave_1129",-0.232325238806584
"Wave_1130",-0.222765352793031
"Wave_1131",-0.214062228189273
"Wave_1132",-0.212225388438146
"Wave_1133",-0.206969366320757
"Wave_1134",-0.19810344771523
"Wave_1135",-0.18360605571175
"Wave_1136",-0.171875379972392
"Wave_1137",-0.162523012400696
"Wave_1138",-0.137810363058384
"Wave_1139",-0.122199832847454
"Wave_1140",-0.11925012889114
"Wave_1141",-0.118921449589451
"Wave_1142",-0.134200187993853
"Wave_1143",-0.132709965498501
"Wave_1144",-0.129870946083697
"Wave_1145",-0.138939596274363
"Wave_1146",-0.146165716865044
"Wave_1147",-0.12327082997079
"Wave_1148",-0.100362718546163
"Wave_1149",-0.0866202385438462
"Wave_1150",-0.0778332498433413
"Wave_1151",-0.064839309535659
"Wave_1152",-0.0507103670605074
"Wave_1153",-0.052835614407514
"Wave_1154",-0.0430566809072334
"Wave_1155",-0.0392096174582827
"Wave_1156",-0.043241822320662
"Wave_1157",-0.0383892237750179
"Wave_1158",-0.034601814245774
"Wave_1159",-0.03616516931944
"Wave_1160",-0.0296554815377861
"Wave_1161",-0.0243038550843985
"Wave_1162",-0.0126553805218216
"Wave_1163",-0.0054345635984298
"Wave_1164",0.00168646122339392
"Wave_1165",0.00781270752227752
"Wave_1166",0.0156230070149228
"Wave_1167",0.0228206752555705
"Wave_1168",0.0267333382712993
"Wave_1169",0.029000210233214
"Wave_1170",0.0367308726736099
"Wave_1171",0.0327577910041442
"Wave_1172",0.037569162557967
"Wave_1173",0.0362295659641259
"Wave_1174",0.0345955790168017
"Wave_1175",0.0240352638758391
"Wave_1176",0.00647400506938905
"Wave_1177",0.00529208697565999
"Wave_1178",-0.00371389784767684
"Wave_1179",-0.00529889652389365
"Wave_1180",-0.0102508985980565
"Wave_1181",-0.0124846958849117
"Wave_1182",-0.00628171970665597
"Wave_1183",-0.0110719003818344
"Wave_1184",-0.0135230044940018
"Wave_1185",-0.0111394811508337
"Wave_1186",-0.0125851859617894
"Wave_1187",-0.0172224979291185
"Wave_1188",-0.0213757152422189
"Wave_1189",-0.0234782548957859
"Wave_1190",-0.0217755995842501
"Wave_1191",-0.0189345918476909
"Wave_1192",-0.0159596480329061
"Wave_1193",-0.0140515296007114
"Wave_1194",-0.0188234707499487
"Wave_1195",-0.0232354337435358
"Wave_1196",-0.0300550360428096
"Wave_1197",-0.0329862204783601
"Wave_1198",-0.0350698334096083
"Wave_1199",-0.0369866379066568
"Wave_1200",-0.0397325799773052
"Wave_1201",-0.0325996777329088
"Wave_1202",-0.0295937447659316
"Wave_1203",-0.0234846964048751
"Wave_1204",-0.0209517611089199
"Wave_1205",-0.0160795298419844
"Wave_1206",-0.01583689768036
"Wave_1207",-0.0125497742544377
"Wave_1208",-0.0108849389128363
"Wave_1209",-0.0122482750852931
"Wave_1210",-0.0150594397485239
"Wave_1211",-0.0186001541356019
"Wave_1212",-0.0177172102059787
"Wave_1213",-0.0212304898275539
"Wave_1214",-0.0255230592272679
"Wave_1215",-0.0265866725085239
"Wave_1216",-0.0264881602178606
"Wave_1217",-0.0229967118803439
"Wave_1218",-0.0190905539755888
"Wave_1219",-0.0162906289776982
"Wave_1220",-0.0143543315197417
"Wave_1221",-0.0092729645851238
"Wave_1222",-0.00637365488657763
"Wave_1223",-0.00374701412831623
"Wave_1224",0.00311706520389076
"Wave_1225",0.0103752956802548
"Wave_1226",0.0153817274448139
"Wave_1227",0.0184815978734351
"Wave_1228",0.0206477824488412
"Wave_1229",0.0320892854791018
"Wave_1230",0.030370539755389
"Wave_1231",0.0320049102414472
"Wave_1232",0.0342384317956317
"Wave_1233",0.0344335360906427
