"","CN_ratio.16.comps"
"Wave_909",0.00166152760138657
"Wave_910",0.00971141152572494
"Wave_911",0.00650849219588779
"Wave_912",0.0188646278435126
"Wave_913",-0.0184521702036365
"Wave_914",-0.025812541555801
"Wave_915",0.0155430960773698
"Wave_916",0.0277529997640911
"Wave_917",0.0374441352432631
"Wave_918",0.0452865916078367
"Wave_919",0.0542076272501506
"Wave_920",-0.0065347857728612
"Wave_921",-0.0249467280049476
"Wave_922",-0.0459880375405743
"Wave_923",-0.0758596240671919
"Wave_924",-0.06871629565188
"Wave_925",-0.0318110722538005
"Wave_926",0.0118287884789231
"Wave_927",-0.0185987249831929
"Wave_928",-0.0455465143430369
"Wave_929",-0.0692810830003663
"Wave_930",-0.035425079869082
"Wave_931",0.00041436730107544
"Wave_932",-0.00227004094336448
"Wave_933",-0.0196703373893405
"Wave_934",-0.0241295877194026
"Wave_935",-0.0718133563195355
"Wave_936",-0.0675031538054683
"Wave_937",-0.0515238919722395
"Wave_938",-0.0189242356584613
"Wave_939",-0.0141654182569708
"Wave_940",-0.0444811483688643
"Wave_941",-0.00630284899537985
"Wave_942",-0.0270087148227631
"Wave_943",-0.0331597991788804
"Wave_944",-0.0263603070052927
"Wave_945",-0.0127330696877184
"Wave_946",-0.0160134351840336
"Wave_947",-0.0526389227598281
"Wave_948",-0.0214176230361053
"Wave_949",-0.00842191027739254
"Wave_950",0.0358973642814562
"Wave_951",0.0272117141455013
"Wave_952",-0.0252604709352192
"Wave_953",-0.0487005966499808
"Wave_954",-0.0382408965222818
"Wave_955",-0.00645018898322287
"Wave_956",0.0363930277334277
"Wave_957",0.0258915820622775
"Wave_958",-0.00133831197219275
"Wave_959",-0.0236773264514722
"Wave_960",0.0201774595807841
"Wave_961",0.0487708281375286
"Wave_962",-0.0442448231690937
"Wave_963",0.0144156471196984
"Wave_964",0.0203259230495606
"Wave_965",-0.0170527816988532
"Wave_966",-0.0438003074863684
"Wave_967",0.00358562761665161
"Wave_968",0.0402390414669875
"Wave_969",0.0145774369858246
"Wave_970",-0.0596502895944082
"Wave_971",-0.0412895625833889
"Wave_972",-0.0373425430902803
"Wave_973",-0.0211423035360077
"Wave_974",0.0263263605062895
"Wave_975",0.0543556317297104
"Wave_976",-0.0360297752845991
"Wave_977",-0.118356460137373
"Wave_978",-0.0557134328989301
"Wave_979",-0.0142858819490826
"Wave_980",0.00955777627841432
"Wave_981",0.0299569448991789
"Wave_982",0.0492753164779612
"Wave_983",0.0548146738527631
"Wave_984",0.0403142639717128
"Wave_985",0.0290269899735118
"Wave_986",0.0196967258782628
"Wave_987",0.00525980464912805
"Wave_988",0.00180008545490434
"Wave_989",0.00244358786855784
"Wave_990",0.00377204200172973
"Wave_991",0.0126776319325158
"Wave_992",0.0139460422006778
"Wave_993",0.0178420894112644
"Wave_994",0.0208581859947039
"Wave_995",0.0168649770101571
"Wave_996",0.018361461135001
"Wave_997",0.0212076541049808
"Wave_998",0.0231999516217672
"Wave_999",0.0185366762623311
"Wave_1000",0.0105750877330246
"Wave_1001",0.00293725784116672
"Wave_1002",-0.0035952701102147
"Wave_1003",0.00696640535849728
"Wave_1004",0.0229099561394764
"Wave_1005",0.0383732525187794
"Wave_1006",0.047423748779804
"Wave_1007",0.0447045009485255
"Wave_1008",0.040119936043312
"Wave_1009",0.0345087289320106
"Wave_1010",0.0306769659225539
"Wave_1011",0.027400453593174
"Wave_1012",0.0233729741473505
"Wave_1013",0.0190123660346031
"Wave_1014",0.0122256857566618
"Wave_1015",0.00283459694373969
"Wave_1016",-0.00711148821363422
"Wave_1017",-0.0166998341660984
"Wave_1018",-0.0230350942390853
"Wave_1019",-0.0270771237791141
"Wave_1020",-0.0294526802961336
"Wave_1021",-0.0329540292309335
"Wave_1022",-0.0329097374456677
"Wave_1023",-0.0345698652312404
"Wave_1024",-0.0358307013376887
"Wave_1025",-0.0374484586105608
"Wave_1026",-0.0403135120183309
"Wave_1027",-0.0422015610335728
"Wave_1028",-0.0443123804004778
"Wave_1029",-0.0438777392611055
"Wave_1030",-0.0401956520897131
"Wave_1031",-0.0359782556306354
"Wave_1032",-0.0317428341281434
"Wave_1033",-0.0253462453337493
"Wave_1034",-0.0195854569429858
"Wave_1035",-0.01113995487245
"Wave_1036",-0.00375671898853199
"Wave_1037",-0.00138572467979908
"Wave_1038",-0.00418483677268106
"Wave_1039",-0.00880319719201571
"Wave_1040",-0.0138045588769254
"Wave_1041",-0.0176785966579104
"Wave_1042",-0.0189395234622216
"Wave_1043",-0.0201435076536919
"Wave_1044",-0.0212727842001436
"Wave_1045",-0.0217494092994324
"Wave_1046",-0.0214691895245704
"Wave_1047",-0.021238262320748
"Wave_1048",-0.0210677267627442
"Wave_1049",-0.0193190240066626
"Wave_1050",-0.0196596683170326
"Wave_1051",-0.0196561175616599
"Wave_1052",-0.0183338270045034
"Wave_1053",-0.0229002253682234
"Wave_1054",-0.027366581469719
"Wave_1055",-0.0319781302735261
"Wave_1056",-0.0379848790028296
"Wave_1057",-0.0432880322637331
"Wave_1058",-0.0492767054067561
"Wave_1059",-0.0562801664060659
"Wave_1060",-0.0608253920849566
"Wave_1061",-0.0633590063765547
"Wave_1062",-0.0662577122540015
"Wave_1063",-0.0676277499941027
"Wave_1064",-0.0689227645452332
"Wave_1065",-0.0706399879814869
"Wave_1066",-0.0715605791931409
"Wave_1067",-0.0718378024437863
"Wave_1068",-0.0729491353313476
"Wave_1069",-0.0733918163574176
"Wave_1070",-0.0738563865207685
"Wave_1071",-0.0754928860868552
"Wave_1072",-0.0790956182753436
"Wave_1073",-0.0843969751974256
"Wave_1074",-0.0892799273974945
"Wave_1075",-0.0933047428372895
"Wave_1076",-0.0918829790771732
"Wave_1077",-0.0878969083444996
"Wave_1078",-0.0849969257738367
"Wave_1079",-0.0819932506694969
"Wave_1080",-0.0865061713366454
"Wave_1081",-0.0927865412575205
"Wave_1082",-0.0983405167977185
"Wave_1083",-0.102766720670925
"Wave_1084",-0.104849662560419
"Wave_1085",-0.105985562601408
"Wave_1086",-0.106780181139983
"Wave_1087",-0.10511477526968
"Wave_1088",-0.100751367534668
"Wave_1089",-0.0949501308315796
"Wave_1090",-0.0911545959876393
"Wave_1091",-0.0886947097200606
"Wave_1092",-0.0929877689655155
"Wave_1093",-0.09542144646758
"Wave_1094",-0.0998077052681278
"Wave_1095",-0.0992247508711593
"Wave_1096",-0.0972377716846654
"Wave_1097",-0.0947533704155394
"Wave_1098",-0.091075106514252
"Wave_1099",-0.0833945511690314
"Wave_1100",-0.0771002484517297
"Wave_1101",-0.0709042088006082
"Wave_1102",-0.0676232368841475
"Wave_1103",-0.0638736411230949
"Wave_1104",-0.0628622080368987
"Wave_1105",-0.0585372576818188
"Wave_1106",-0.0558108640078356
"Wave_1107",-0.0547634177631902
"Wave_1108",-0.0539739218920455
"Wave_1109",-0.0529135336133971
"Wave_1110",-0.0569764339341823
"Wave_1111",-0.0558339405626589
"Wave_1112",-0.0553804554923785
"Wave_1113",-0.0549433439991495
"Wave_1114",-0.0528789433839475
"Wave_1115",-0.0489200778213007
"Wave_1116",-0.0475136253367238
"Wave_1117",-0.043318316087813
"Wave_1118",-0.0437502697662507
"Wave_1119",-0.0467356541234742
"Wave_1120",-0.0495929359824978
"Wave_1121",-0.0528507257794318
"Wave_1122",-0.0536807512931991
"Wave_1123",-0.0529572216044112
"Wave_1124",-0.053110153933516
"Wave_1125",-0.0532677118123297
"Wave_1126",-0.0521756762000719
"Wave_1127",-0.0488337603257672
"Wave_1128",-0.0490818041917265
"Wave_1129",-0.0464416807307081
"Wave_1130",-0.0441605064311175
"Wave_1131",-0.0419969371486409
"Wave_1132",-0.0409854726431616
"Wave_1133",-0.0379748491522175
"Wave_1134",-0.0349848173216714
"Wave_1135",-0.0321778284942998
"Wave_1136",-0.0310543810783588
"Wave_1137",-0.0284641277907111
"Wave_1138",-0.0271186582385086
"Wave_1139",-0.0262789155213521
"Wave_1140",-0.02544501858834
"Wave_1141",-0.0196527165798431
"Wave_1142",-0.0140104035294903
"Wave_1143",-0.00519384136874615
"Wave_1144",-0.00196913587989419
"Wave_1145",-0.00340248455980763
"Wave_1146",-0.00559247001581195
"Wave_1147",-0.0052855197313515
"Wave_1148",-0.00787917748569807
"Wave_1149",-0.00862465196249184
"Wave_1150",-0.0101460937068765
"Wave_1151",-0.00900230178391754
"Wave_1152",-0.00358948562131977
"Wave_1153",0.00591850683040249
"Wave_1154",0.01417571150965
"Wave_1155",0.0265859510881859
"Wave_1156",0.0218939613158387
"Wave_1157",0.0141594324601854
"Wave_1158",0.00496376032197781
"Wave_1159",0.00145360172150536
"Wave_1160",0.00259617121347658
"Wave_1161",0.00388528607678053
"Wave_1162",0.0062686046473057
"Wave_1163",0.00741638623811166
"Wave_1164",0.00738953486326597
"Wave_1165",0.00829555705727283
"Wave_1166",0.0108706743873774
"Wave_1167",0.0158178854761805
"Wave_1168",0.0209741122774032
"Wave_1169",0.0250251320591644
"Wave_1170",0.0290446146952473
"Wave_1171",0.0339503775780178
"Wave_1172",0.0395231034615946
"Wave_1173",0.0440713993222089
"Wave_1174",0.0475550700114869
"Wave_1175",0.0477966173808859
"Wave_1176",0.0512833852499556
"Wave_1177",0.05033159893102
"Wave_1178",0.0494096445628683
"Wave_1179",0.0514170531397819
"Wave_1180",0.0530391840971632
"Wave_1181",0.0540936655357865
"Wave_1182",0.0549110241535328
"Wave_1183",0.0553941086647442
"Wave_1184",0.0555558074432669
"Wave_1185",0.0571297394792195
"Wave_1186",0.0570350868118211
"Wave_1187",0.0550309501123473
"Wave_1188",0.0525650232493728
"Wave_1189",0.0496258130629628
"Wave_1190",0.0532903215987463
"Wave_1191",0.0578546910324296
