"","Jmax25_Rog.13.comps"
"Wave_1265",-0.0757436096519944
"Wave_1266",-0.061177358298137
"Wave_1267",-0.0450755431786631
"Wave_1268",-0.0275283296889672
"Wave_1269",-0.0452577092233623
"Wave_1270",-0.0713929324483872
"Wave_1271",-0.0805351746406139
"Wave_1272",-0.0943204112690049
"Wave_1273",-0.0877580794039259
"Wave_1274",-0.0657436538099637
"Wave_1275",-0.0366696274404677
"Wave_1276",0.0481593231600449
"Wave_1277",0.059811401930473
"Wave_1278",0.066646426273332
"Wave_1279",0.0552960554607362
"Wave_1280",0.0552239120469632
"Wave_1281",0.0639077610185486
"Wave_1282",0.0787046161558256
"Wave_1283",0.0889367243019764
"Wave_1284",0.0681264253279732
"Wave_1285",0.0663674936304686
"Wave_1286",0.0465425423358374
"Wave_1287",0.0404001546258562
"Wave_1288",0.0309663089058357
"Wave_1289",0.014311645539963
"Wave_1290",0.00927668766990149
"Wave_1291",-0.00960238761770534
"Wave_1292",-0.0101155285241233
"Wave_1293",-0.0138531156132116
"Wave_1294",-0.0209057280643212
"Wave_1295",-0.0372840645067639
"Wave_1296",-0.020221893439933
"Wave_1297",-0.0148577581309684
"Wave_1298",-0.0233568101247146
"Wave_1299",-0.0179496804777603
"Wave_1300",-0.0347915578651068
"Wave_1301",-0.047602665936229
"Wave_1302",-0.0709137224664847
"Wave_1303",-0.0559477992099185
"Wave_1304",-0.0419262799057331
"Wave_1305",-0.0236903082489115
"Wave_1306",0.00531543576555093
"Wave_1307",0.0162769023911305
"Wave_1308",0.0489667235206185
"Wave_1309",0.0259884643404469
"Wave_1310",0.0282388496853935
"Wave_1311",0.0400956904291556
"Wave_1312",0.0570685076889736
"Wave_1313",0.0706975411659999
"Wave_1314",0.0680067951336361
"Wave_1315",0.0529337157320953
"Wave_1316",0.0341342318429516
"Wave_1317",-0.015906031533277
"Wave_1318",-0.0225543917944473
"Wave_1319",-0.0577260603535891
"Wave_1320",-0.070426933840241
"Wave_1321",-0.0683248198771416
"Wave_1322",-0.0773409219783482
"Wave_1323",-0.0630738492891309
"Wave_1324",-0.0562675148982648
"Wave_1325",-0.0467023697262264
"Wave_1326",0.00438116664581772
"Wave_1327",0.0231999531876019
"Wave_1328",-0.0012575680023578
"Wave_1329",-0.0210954608684872
"Wave_1330",-0.0185666981314433
