"","CN_ratio.5.comps"
"Wave_1219",-0.00791317471453267
"Wave_1220",-0.00743199969567344
"Wave_1221",-0.00676606826889682
"Wave_1222",-0.00616447547444734
"Wave_1223",-0.00557791321738069
"Wave_1224",-0.00502758640652482
"Wave_1225",-0.00450276443144029
"Wave_1226",-0.00399200766262153
"Wave_1227",-0.00350614062030469
"Wave_1228",-0.00316279072520866
"Wave_1229",-0.00328363453977607
"Wave_1230",-0.00229262488786222
"Wave_1231",-0.00196558277515083
"Wave_1232",-0.00164376955558938
"Wave_1233",-0.00137443250574326
"Wave_1234",-0.000765968524449729
"Wave_1235",-0.000410251426189985
"Wave_1236",-0.000796906826340257
"Wave_1237",-7.13704497102424e-07
"Wave_1238",0.000252255844021328
"Wave_1239",-9.20736332340947e-05
"Wave_1240",7.73680755835038e-05
"Wave_1241",0.000495023135551366
"Wave_1242",0.000747528896924179
"Wave_1243",0.00151372003937997
"Wave_1244",0.00174910513759739
"Wave_1245",0.00134341918282602
"Wave_1246",0.00139789517864049
"Wave_1247",0.00146565775231074
"Wave_1248",0.00173273058575926
"Wave_1249",0.00198214982595086
"Wave_1250",0.00219717671191897
"Wave_1251",0.00292853902642344
"Wave_1252",0.00269953562759621
"Wave_1253",0.00278874765741606
"Wave_1254",0.00286387524870511
"Wave_1255",0.002927938231122
"Wave_1256",0.00361155992277226
"Wave_1257",0.0040308159777611
"Wave_1258",0.00359841524538614
"Wave_1259",0.00430334253370351
"Wave_1260",0.00412502566616601
"Wave_1261",0.00450662947787532
"Wave_1262",0.0047087356903947
"Wave_1263",0.00511784679973081
"Wave_1264",0.00584581572003347
"Wave_1265",0.00577951572641288
"Wave_1266",0.00555662672971838
"Wave_1267",0.00540917099071378
"Wave_1268",0.00501801452043989
"Wave_1269",0.00466269092708504
"Wave_1270",0.00412870392261525
"Wave_1271",0.00372975619172411
"Wave_1272",0.00374535971265169
"Wave_1273",0.00375416942851113
"Wave_1274",0.00329262185052561
"Wave_1275",0.00412479992672421
"Wave_1276",0.00341704349272739
"Wave_1277",0.003451588490226
"Wave_1278",0.00415477925070483
"Wave_1279",0.00394183325720594
"Wave_1280",0.00399691128929179
"Wave_1281",0.00442129180202253
"Wave_1282",0.00366142159989131
"Wave_1283",0.00371532263222554
"Wave_1284",0.00364722973213975
"Wave_1285",0.00370392063881022
"Wave_1286",0.00386829455444533
"Wave_1287",0.00424568153383401
"Wave_1288",0.00445777508132613
"Wave_1289",0.00420576194413553
"Wave_1290",0.00448965182422377
"Wave_1291",0.00537360587111845
"Wave_1292",0.00560356552907958
"Wave_1293",0.00586977335418937
"Wave_1294",0.00647739654650072
"Wave_1295",0.00620021106114067
"Wave_1296",0.00670376267842003
"Wave_1297",0.00662428130885782
"Wave_1298",0.00685600441401919
"Wave_1299",0.0071858587968409
"Wave_1300",0.00757810252376949
"Wave_1301",0.00812926088096127
"Wave_1302",0.0083392371810277
"Wave_1303",0.00917231066257004
"Wave_1304",0.0087983399370878
"Wave_1305",0.00920386599102729
"Wave_1306",0.00948404654239062
"Wave_1307",0.00949414967514253
"Wave_1308",0.00964394608884195
"Wave_1309",0.00997227067132461
"Wave_1310",0.00999318898225385
"Wave_1311",0.0103852160012075
"Wave_1312",0.0096727158216996
"Wave_1313",0.00969436666353593
"Wave_1314",0.00968732585331792
"Wave_1315",0.00979174736019589
"Wave_1316",0.0100784261903881
"Wave_1317",0.0109300135038001
"Wave_1318",0.0111174592371303
"Wave_1319",0.0109375932993989
"Wave_1320",0.0113242998640702
"Wave_1321",0.0115838010333331
"Wave_1322",0.0116849261785142
"Wave_1323",0.0117974797358463
"Wave_1324",0.0122671542487608
"Wave_1325",0.0124657260330066
